epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.36867189407348633,0.0010000000474974513,1.7574187517166138,0.24748201668262482,1.875765085220337
1,0.4307166635990143,0.0010000000474974513,1.5589193105697632,0.350359708070755,1.6869595050811768
2,0.4552648067474365,0.0010000000474974513,1.4655176401138306,0.4312949776649475,1.4829751253128052
3,0.48269039392471313,0.0010000000474974513,1.3930519819259644,0.38381296396255493,1.828076720237732
4,0.4994155168533325,0.0010000000474974513,1.3487423658370972,0.40935251116752625,1.5960601568222046
5,0.5185684561729431,0.0010000000474974513,1.2969564199447632,0.4384891986846924,1.6794782876968384
6,0.532056450843811,0.0010000000474974513,1.2724806070327759,0.4528777003288269,1.6330845355987549
7,0.5420376062393188,0.0010000000474974513,1.244916558265686,0.45359712839126587,1.8674594163894653
8,0.5507598519325256,0.0010000000474974513,1.2235616445541382,0.466187059879303,1.480430245399475
9,0.5564247965812683,0.0010000000474974513,1.2169580459594727,0.39676257967948914,1.803407073020935
10,0.5655066967010498,0.0010000000474974513,1.1853607892990112,0.47589927911758423,1.405897617340088
11,0.563258707523346,0.0010000000474974513,1.1830165386199951,0.5366906523704529,1.3267221450805664
12,0.5761172771453857,0.0010000000474974513,1.1551802158355713,0.46043166518211365,1.6680912971496582
13,0.5795342326164246,0.0010000000474974513,1.1440856456756592,0.4982014298439026,1.4359805583953857
14,0.5849294066429138,0.0010000000474974513,1.136778473854065,0.45215827226638794,1.5639352798461914
15,0.6065102219581604,0.0005000000237487257,1.08015775680542,0.5525180101394653,1.2134983539581299
16,0.6184695363044739,0.0005000000237487257,1.069380521774292,0.46258991956710815,1.6277366876602173
17,0.6099271774291992,0.0005000000237487257,1.0676519870758057,0.4406474828720093,1.6872670650482178
18,0.6134340167045593,0.0005000000237487257,1.0603948831558228,0.6017985343933105,1.1290868520736694
19,0.6202679872512817,0.0005000000237487257,1.0544296503067017,0.5726618766784668,1.179675817489624
20,0.6220663785934448,0.0005000000237487257,1.0394808053970337,0.35179856419563293,2.124238967895508
21,0.6171207427978516,0.0005000000237487257,1.0543532371520996,0.5302157998085022,1.3798840045928955
22,0.6366333961486816,0.0002500000118743628,1.0046676397323608,0.6071942448616028,1.1342159509658813
23,0.6357342004776001,0.0002500000118743628,1.0005717277526855,0.5859712362289429,1.1865073442459106
24,0.6455354690551758,0.0002500000118743628,0.9896241426467896,0.6485611796379089,1.0142790079116821
25,0.644995927810669,0.0002500000118743628,0.9810831546783447,0.5651079416275024,1.236429214477539
26,0.6490423679351807,0.0002500000118743628,0.9832481145858765,0.5453237295150757,1.3174399137496948
27,0.6531786918640137,0.0002500000118743628,0.9726011157035828,0.5737410187721252,1.2084583044052124
28,0.6591134071350098,0.0001250000059371814,0.9484473466873169,0.6579136848449707,0.994981050491333
29,0.6623505353927612,0.0001250000059371814,0.9406604766845703,0.6877697706222534,0.9618841409683228
30,0.6662170886993408,0.0001250000059371814,0.9383038282394409,0.6438848972320557,1.058916687965393
31,0.6672961115837097,0.0001250000059371814,0.933946430683136,0.603597104549408,1.1948307752609253
32,0.6690045595169067,0.0001250000059371814,0.9276435971260071,0.6474820375442505,1.0579100847244263
33,0.6712526082992554,6.25000029685907e-05,0.9226216077804565,0.6687050461769104,1.0048398971557617
34,0.6721518039703369,6.25000029685907e-05,0.9197808504104614,0.6636690497398376,1.0042610168457031
35,0.6774570345878601,6.25000029685907e-05,0.913893461227417,0.6604316830635071,1.0429095029830933
36,0.6761981844902039,3.125000148429535e-05,0.9042601585388184,0.6755395531654358,0.9894991517066956
