epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7653988003730774,0.0010000000474974513,0.7224706411361694,0.847841739654541,0.4678567051887512
1,0.8362557291984558,0.0010000000474974513,0.47102850675582886,0.8647481799125671,0.4243820011615753
2,0.8545094728469849,0.0010000000474974513,0.4221028685569763,0.8751798272132874,0.38978898525238037
3,0.8642208576202393,0.0010000000474974513,0.3856866955757141,0.8701438903808594,0.3895362615585327
4,0.8724935054779053,0.0010000000474974513,0.3688584864139557,0.8665467500686646,0.3888479471206665
5,0.8750112652778625,0.0010000000474974513,0.3552071154117584,0.8748201727867126,0.3827168345451355
6,0.8823846578598022,0.0005000000237487257,0.3382837176322937,0.8848921060562134,0.3557494580745697
7,0.8847225904464722,0.0005000000237487257,0.3286063075065613,0.8892086148262024,0.3446415662765503
8,0.888229489326477,0.0005000000237487257,0.3212262690067291,0.8870503306388855,0.3497251570224762
9,0.879866898059845,0.0005000000237487257,0.32655736804008484,0.8866906762123108,0.34155479073524475
10,0.8908371329307556,0.0005000000237487257,0.31464749574661255,0.882374107837677,0.3502925634384155
11,0.888229489326477,0.0002500000118743628,0.30880600214004517,0.8859712481498718,0.3424556255340576
12,0.8942540884017944,0.0002500000118743628,0.3036571443080902,0.887410044670105,0.35335659980773926
13,0.8939843773841858,0.0002500000118743628,0.3042466938495636,0.8859712481498718,0.3337421119213104
14,0.9000989198684692,0.0001250000059371814,0.2854491174221039,0.8895683288574219,0.3357985019683838
15,0.8943440318107605,0.0001250000059371814,0.2928895354270935,0.8906474709510803,0.33386191725730896
16,0.9008182883262634,0.0001250000059371814,0.2924177050590515,0.8888489007949829,0.3353200852870941
17,0.8963222503662109,0.0001250000059371814,0.29878008365631104,0.8892086148262024,0.3420685827732086
18,0.9000989198684692,0.0001250000059371814,0.2839098870754242,0.8884891867637634,0.33541709184646606
19,0.903425931930542,6.25000029685907e-05,0.28051719069480896,0.8888489007949829,0.3339129388332367
20,0.9009981155395508,6.25000029685907e-05,0.2808380722999573,0.8895683288574219,0.33722302317619324
21,0.9027065634727478,6.25000029685907e-05,0.27851980924606323,0.8892086148262024,0.33789968490600586
22,0.8986601829528809,3.125000148429535e-05,0.290602445602417,0.8895683288574219,0.33487439155578613
