epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8441686630249023,9.999999747378752e-06,0.483661949634552,0.9003596901893616,0.337437242269516
1,0.8898480534553528,9.999999747378752e-06,0.32505151629447937,0.8992805480957031,0.32515430450439453
2,0.9134070873260498,9.999999747378752e-06,0.24432748556137085,0.9089928269386292,0.30269065499305725
3,0.9313011169433594,9.999999747378752e-06,0.19007259607315063,0.9147481918334961,0.28948307037353516
4,0.9463177919387817,9.999999747378752e-06,0.15649732947349548,0.9179856181144714,0.27692142128944397
5,0.950004518032074,9.999999747378752e-06,0.13976657390594482,0.9197841882705688,0.2702665627002716
6,0.9601654410362244,9.999999747378752e-06,0.1087597981095314,0.9233812689781189,0.2676962614059448
7,0.9664598703384399,9.999999747378752e-06,0.09861025214195251,0.9280575513839722,0.2570277750492096
8,0.9705062508583069,9.999999747378752e-06,0.08464673906564713,0.9312949776649475,0.255039781332016
9,0.9744627475738525,9.999999747378752e-06,0.07734403759241104,0.932374119758606,0.2503836750984192
10,0.9772502183914185,9.999999747378752e-06,0.07222341001033783,0.9330935478210449,0.24795624613761902
11,0.982285737991333,9.999999747378752e-06,0.057318877428770065,0.9334532618522644,0.24426914751529694
12,0.983544647693634,9.999999747378752e-06,0.05391114950180054,0.9341726899147034,0.24072691798210144
13,0.9872313737869263,9.999999747378752e-06,0.04518065229058266,0.9370503425598145,0.2376479059457779
14,0.9902886152267456,9.999999747378752e-06,0.04164442792534828,0.9356114864349365,0.23980921506881714
15,0.9896591901779175,9.999999747378752e-06,0.03915422409772873,0.935971200466156,0.23842619359493256
16,0.988849937915802,9.999999747378752e-06,0.037680283188819885,0.936690628528595,0.23295828700065613
17,0.9920870661735535,9.999999747378752e-06,0.0346498042345047,0.9363309144973755,0.2338501662015915
18,0.9925366640090942,9.999999747378752e-06,0.02880089171230793,0.9377697706222534,0.23210082948207855
19,0.9946048259735107,9.999999747378752e-06,0.0259991604834795,0.9381294846534729,0.23073868453502655
20,0.9936156868934631,9.999999747378752e-06,0.025874704122543335,0.9395683407783508,0.23541909456253052
21,0.9936156868934631,9.999999747378752e-06,0.02536383457481861,0.9399280548095703,0.23372049629688263
22,0.9951443076133728,9.999999747378752e-06,0.02118934504687786,0.9395683407783508,0.23345947265625
23,0.9948745369911194,9.999999747378752e-06,0.020021555945277214,0.9406474828720093,0.22888506948947906
24,0.9964931011199951,9.999999747378752e-06,0.017648961395025253,0.9417266249656677,0.22659553587436676
25,0.9954140782356262,9.999999747378752e-06,0.01857602596282959,0.9417266249656677,0.22641265392303467
26,0.9967628717422485,9.999999747378752e-06,0.015586135908961296,0.9417266249656677,0.22426487505435944
27,0.9969426989555359,9.999999747378752e-06,0.015400777570903301,0.9438849091529846,0.22351156175136566
28,0.9972124695777893,9.999999747378752e-06,0.014602597802877426,0.9420863389968872,0.22412939369678497
29,0.9966729879379272,9.999999747378752e-06,0.015148580074310303,0.9435251951217651,0.2181692272424698
30,0.9984713792800903,9.999999747378752e-06,0.011308197863399982,0.9453237652778625,0.21701380610466003
31,0.9979318380355835,9.999999747378752e-06,0.011846687644720078,0.9438849091529846,0.2210211604833603
32,0.9987411499023438,9.999999747378752e-06,0.01093040220439434,0.9449640512466431,0.22587403655052185
33,0.9977520108222961,9.999999747378752e-06,0.010662799701094627,0.9460431933403015,0.22799500823020935
34,0.9985612630844116,9.999999747378752e-06,0.009389289654791355,0.9453237652778625,0.22285600006580353
35,0.9985612630844116,9.999999747378752e-06,0.009392129257321358,0.9438849091529846,0.22694739699363708
36,0.9985612630844116,9.999999747378752e-06,0.008752580732107162,0.9435251951217651,0.22550112009048462
37,0.9985612630844116,9.999999747378752e-06,0.00956991408020258,0.9460431933403015,0.22001132369041443
38,0.9984713792800903,9.999999747378752e-06,0.008481205441057682,0.9453237652778625,0.22340494394302368
39,0.9985612630844116,9.999999747378752e-06,0.008729713037610054,0.9438849091529846,0.22318454086780548
40,0.9990108609199524,9.999999747378752e-06,0.007930475287139416,0.9446043372154236,0.22361759841442108
