accuracy,loss,val_accuracy,val_loss,learning_rate
0.7615322470664978,0.7115658521652222,0.8460431694984436,0.4717170000076294,0.0010000000474974513
0.8363456726074219,0.4741514027118683,0.8507194519042969,0.47114601731300354,0.0010000000474974513
0.8527110815048218,0.43098971247673035,0.8661870360374451,0.3878231346607208,0.0010000000474974513
0.8644906282424927,0.3958740830421448,0.8726618885993958,0.3703081011772156,0.0010000000474974513
0.8655696511268616,0.38395261764526367,0.8737410306930542,0.36654773354530334,0.0010000000474974513
0.8714144229888916,0.3648408353328705,0.8748201727867126,0.3688075542449951,0.0010000000474974513
0.87869793176651,0.3505454361438751,0.8723021745681763,0.3525572717189789,0.0010000000474974513
0.8761801719665527,0.3405192494392395,0.8762589693069458,0.36516955494880676,0.0010000000474974513
0.8815754055976868,0.33654195070266724,0.8748201727867126,0.353391170501709,0.0010000000474974513
0.8784282207489014,0.34299662709236145,0.8744604587554932,0.37687429785728455,0.0010000000474974513
0.8834637403488159,0.3347265422344208,0.8798561096191406,0.3483990430831909,0.0010000000474974513
0.8884093165397644,0.3217151463031769,0.8798561096191406,0.35614487528800964,0.0010000000474974513
0.8872403502464294,0.32731953263282776,0.8809352517127991,0.34690147638320923,0.0010000000474974513
0.8910170197486877,0.3211515545845032,0.8802158236503601,0.35367438197135925,0.0010000000474974513
0.8867008090019226,0.3224804401397705,0.8812949657440186,0.35244977474212646,0.0010000000474974513
0.8876000642776489,0.31870120763778687,0.8791366815567017,0.35766473412513733,0.0010000000474974513
0.8908371329307556,0.31590038537979126,0.8776978254318237,0.3616020083427429,0.0010000000474974513
0.8876899480819702,0.3177753686904907,0.8827338218688965,0.35475587844848633,0.0010000000474974513
0.8933548927307129,0.3114159405231476,0.882374107837677,0.3531728982925415,0.0010000000474974513
0.8914666175842285,0.3140068054199219,0.8812949657440186,0.35414838790893555,0.0010000000474974513
0.8914666175842285,0.31965509057044983,0.8820143938064575,0.34927305579185486,0.0010000000474974513
0.8955129981040955,0.30494260787963867,0.8809352517127991,0.3512626886367798,0.0005000000237487257
0.8890387415885925,0.3093557357788086,0.8827338218688965,0.34087416529655457,0.0005000000237487257
0.8949734568595886,0.29772183299064636,0.8802158236503601,0.35320767760276794,0.0005000000237487257
0.8990198969841003,0.286424845457077,0.882374107837677,0.3416733145713806,0.0002500000118743628
