accuracy,loss,val_accuracy,val_loss,learning_rate
0.37910258769989014,1.7286778688430786,0.3935251832008362,1.8207981586456299,0.0010000000474974513
0.4519377648830414,1.5019179582595825,0.29388490319252014,2.2450928688049316,0.0010000000474974513
0.49312111735343933,1.3722898960113525,0.4888489246368408,1.3626457452774048,0.0010000000474974513
0.5362827181816101,1.2671574354171753,0.45215827226638794,1.5122559070587158,0.0010000000474974513
0.5668554902076721,1.1927963495254517,0.48021581768989563,1.5812609195709229,0.0010000000474974513
0.5899649262428284,1.1169220209121704,0.5107913613319397,1.3049840927124023,0.0010000000474974513
0.6125348210334778,1.0769989490509033,0.4748201370239258,1.4087127447128296,0.0010000000474974513
0.6307886242866516,1.0336744785308838,0.5046762824058533,1.4251691102981567,0.0010000000474974513
0.6426580548286438,1.0014680624008179,0.30251798033714294,2.4261438846588135,0.0010000000474974513
0.6747594475746155,0.9133064150810242,0.681654691696167,0.919914960861206,0.0005000000237487257
0.6877978444099426,0.881787896156311,0.5715827345848083,1.2649303674697876,0.0005000000237487257
0.6955309510231018,0.863412618637085,0.5964028835296631,1.1511114835739136,0.0005000000237487257
0.7032641172409058,0.8525034785270691,0.6737409830093384,0.9062180519104004,0.0005000000237487257
0.7243053913116455,0.7803964018821716,0.6895683407783508,0.8860414028167725,0.0002500000118743628
0.7370740175247192,0.756496012210846,0.6456834673881531,1.0117332935333252,0.0002500000118743628
0.7317687273025513,0.755839467048645,0.7035971283912659,0.8730856776237488,0.0002500000118743628
0.7448071241378784,0.7377943396568298,0.730935275554657,0.7723453640937805,0.0002500000118743628
0.7473248839378357,0.7253046631813049,0.7323740720748901,0.7919522523880005,0.0002500000118743628
0.7495728731155396,0.7124100923538208,0.6690647602081299,0.9045577645301819,0.0002500000118743628
0.7573059797286987,0.6967115998268127,0.6266186833381653,1.1456570625305176,0.0002500000118743628
0.7560471296310425,0.6985011696815491,0.6780575513839722,0.9248696565628052,0.0002500000118743628
0.7810448408126831,0.6409853100776672,0.7543165683746338,0.724064826965332,0.0001250000059371814
0.7835626006126404,0.6302533149719238,0.7701438665390015,0.68477863073349,0.0001250000059371814
0.7890477180480957,0.6181453466415405,0.7071942687034607,0.8556309342384338,0.0001250000059371814
0.7938135266304016,0.6068251729011536,0.7377697825431824,0.7468113899230957,0.0001250000059371814
0.7892276048660278,0.5986633896827698,0.7435252070426941,0.7527778744697571,0.0001250000059371814
0.806402325630188,0.5746128559112549,0.7866906523704529,0.6571249961853027,6.25000029685907e-05
0.8086503148078918,0.5578720569610596,0.7737410068511963,0.6798223257064819,6.25000029685907e-05
0.8143152594566345,0.5580732226371765,0.7946043014526367,0.618839681148529,6.25000029685907e-05
0.8148548007011414,0.5462446808815002,0.7737410068511963,0.6743653416633606,6.25000029685907e-05
0.8171926736831665,0.5494624376296997,0.7812949419021606,0.6344790458679199,6.25000029685907e-05
0.8177322149276733,0.5376083254814148,0.7892086505889893,0.6163311004638672,6.25000029685907e-05
0.8200701475143433,0.526520848274231,0.7856115102767944,0.6313433647155762,3.125000148429535e-05
0.8234871029853821,0.521931529045105,0.8039568066596985,0.5969048738479614,3.125000148429535e-05
0.8251056671142578,0.515293538570404,0.7942445874214172,0.619032084941864,3.125000148429535e-05
0.824656069278717,0.5118277072906494,0.7888489365577698,0.6254281401634216,3.125000148429535e-05
0.8257350921630859,0.5165756940841675,0.8039568066596985,0.6037471294403076,3.125000148429535e-05
0.8336480259895325,0.5035660862922668,0.8111510872840881,0.5892038345336914,1.5625000742147677e-05
0.8314000368118286,0.49713486433029175,0.8071942329406738,0.5844883322715759,1.5625000742147677e-05
0.8277133107185364,0.5007299184799194,0.8169064521789551,0.5781052708625793,1.5625000742147677e-05
0.8349968791007996,0.49544116854667664,0.8050359487533569,0.5830456018447876,1.5625000742147677e-05
0.8344573378562927,0.49605536460876465,0.8086330890655518,0.5912523865699768,1.5625000742147677e-05
0.8318496346473694,0.49500390887260437,0.8064748048782349,0.5937817692756653,1.5625000742147677e-05
0.8372448682785034,0.48528510332107544,0.8122302293777466,0.5815210342407227,9.999999747378752e-06
0.8341875672340393,0.49548763036727905,0.818345308303833,0.5749309062957764,9.999999747378752e-06
0.8353565335273743,0.4873597025871277,0.8086330890655518,0.5806480646133423,9.999999747378752e-06
0.8318496346473694,0.48760706186294556,0.8151079416275024,0.576631486415863,9.999999747378752e-06
0.8368851542472839,0.4832816421985626,0.8154676556587219,0.577853798866272,9.999999747378752e-06
0.8378742933273315,0.48500654101371765,0.8122302293777466,0.5790963172912598,9.999999747378752e-06
0.8336480259895325,0.4976258873939514,0.814028799533844,0.578715443611145,9.999999747378752e-06
