epoch,accuracy,loss,val_accuracy,val_loss
23,0.7834727168083191,0.6554564237594604,0.8805755376815796,0.38297632336616516
24,0.8278032541275024,0.5091212391853333,0.8780575394630432,0.38769373297691345
25,0.849294126033783,0.4344005584716797,0.8866906762123108,0.37633439898490906
26,0.8661990761756897,0.39023858308792114,0.8920863270759583,0.3522847890853882
27,0.8800467848777771,0.3466890752315521,0.8956834673881531,0.3306841552257538
28,0.8865209817886353,0.31542065739631653,0.8985611796379089,0.3256930112838745
29,0.9003686904907227,0.2825929522514343,0.902877688407898,0.3054061233997345
30,0.911698579788208,0.24873578548431396,0.9086331129074097,0.28626692295074463
31,0.9169139266014099,0.23543816804885864,0.9118704795837402,0.28270474076271057
32,0.9224889874458313,0.21782873570919037,0.916906476020813,0.2734895944595337
